"S1" "S4" "S7" "S2" "S5" "S8" "S3" "S6" "S9"
"BID" 1196 1463 975 1173 1507 552 1223 746 1079
"MATR3" 15697 14182 17880 16567 15043 10316 17009 14256 16234
"NPC1L1" 6 6 2 10 5 1 5 3 0
"XYLT2" 925 1287 1653 1237 1348 781 1513 757 1136
"RGPD5" 3 1 2 0 1 1 1 0 1
"STMN4" 7 6 1 9 1 0 1 1 1
"NUDCD3" 2900 2968 4249 3257 3300 2492 3545 1809 3577
"ISL1" 1333 544 928 1577 2181 710 1396 1051 1197
"CHDH" 176 266 563 253 296 123 291 94 323
"IL20RA" 43 51 97 59 60 30 98 17 77
"CLCA1" 0 5 1 1 2 0 2 4 1
"CLCA4" 4 0 1 2 1 3 2 3 4
"GLT8D1" 2882 2958 3837 2889 2743 1686 3549 2210 2875
"ATP2C1" 3546 3085 4343 3072 3277 2684 3870 2227 3394
"IGF1" 1116 3464 325 1271 3679 269 1808 2201 1180
"SLC38A5" 62 13 205 142 46 269 70 22 18
"RALBP1" 3311 4143 5557 3896 4633 5435 3602 2059 3742
"RUFY3" 1395 1788 1900 1558 1763 1194 1799 1320 2213
"CNTN1" 21 76 34 13 27 9 22 18 28
"SLC11A1" 2053 963 2058 1406 652 1396 1509 343 2247
"WWTR1" 4076 4406 4395 4763 4130 2321 4610 2233 3370
"AGPS" 1877 1811 2806 1907 1892 1762 2425 1089 2599
"CXorf56" 1232 1238 2187 1375 1333 1108 1274 1814 1591
"ATP1A2" 18 44 4 22 31 4 17 71 19
"TTC27" 1081 1067 1407 1046 1227 827 1368 400 1343
"ZNF582" 591 773 693 518 764 511 698 3602 390
"VSIG2" 42 39 29 42 23 20 42 33 23
"PHLDB1" 409 1068 525 442 1017 286 519 823 379
"MARCO" 393 159 123 186 137 90 152 189 208
"CYP24A1" 131 118 91 93 186 82 34 85 57
"PRDM11" 118 159 178 150 248 131 205 138 151
"SYT13" 2 1 3 0 0 3 0 0 0
"SNAI2" 496 458 403 383 376 189 610 471 419
"CD74" 1023 2254 5020 2011 2457 13712 592 3259 1456
"HGF" 5625 15739 1907 5202 10451 1243 5603 7688 6124
"ZRANB1" 3840 4495 5112 3744 4286 3185 3175 6385 3964
"NCDN" 379 344 887 450 369 504 528 563 522
"ADGRA2" 1099 1907 985 1123 1716 437 1249 2275 1084
"ZFP64" 271 302 456 360 333 284 497 191 449
"MNAT1" 878 1396 1517 890 1325 710 1010 738 1534
"SAMD4A" 2603 2815 2932 2027 3367 1657 2807 1605 2239
"RUNX3" 234 73 505 180 101 476 121 65 66
"MRE11" 1427 1659 3310 2070 2227 1699 2150 1530 4684
"PLEKHB1" 19 38 36 33 39 3 59 55 41
"SERPINB1" 4216 3760 3956 4165 4061 3894 3496 4101 2972
"CYP3A43" 6 8 6 7 10 9 9 3 17
"SLC7A9" 16 17 11 11 9 15 22 2 32
"SPAST" 1179 1327 1605 1150 1408 952 1111 755 1533
"NRXN3" 1992 1545 1317 2299 2273 598 1462 505 1671
"OSBPL5" 208 175 643 285 213 282 275 129 106
"AQR" 2676 2286 4157 2572 2788 2292 3082 2238 3818
"CPS1" 139 324 68 112 234 43 117 163 169
"C8B" 3 1 0 1 0 0 0 2 0
"FHL1" 660 713 1032 474 453 257 376 750 348
"RTF2" 5584 5274 6842 5513 5610 3747 5840 4708 5661
"GABRA1" 0 1 0 0 0 0 0 0 0
"NLRP2" 4452 2293 5129 2949 3157 4814 5989 2992 3829
"SLC45A4" 2067 1544 2333 2791 2093 1139 2723 703 1985
"RNF10" 9929 9417 11892 10517 10553 7124 9170 11129 8198
"ZNF839" 484 414 797 571 558 396 663 301 795
"ZDHHC6" 2568 2038 2924 2690 2370 2328 2320 3091 2742
"GRAMD1B" 628 1040 2351 877 1439 2175 761 477 1949
"RNH1" 4840 4470 6130 5338 5017 3622 5955 4421 4038
"NDUFS1" 4303 4305 5964 3846 4476 2785 4441 3441 5370
"RB1CC1" 6083 5026 7271 6093 5871 4422 5253 6239 5842
